year,sample_id,farm_name,producer_id,field_name,field_id,county,crop,longitude,latitude,sample_date,depth,start_depth_inches,end_depth_inches,huc8_name,hc12_name,huc12,density_g_ml,density2_mlb_ac,om_percent,ph,ph_ae,ec_mmhos_cm,est_ss_ds_m,effervescence,cec_meq_100g,est_cec_meq_100g,total_bases_meq_100g,no3_n_mg_kg,no3_n_lb_ac,nh4_n_mg_kg,nh4_n_lb_ac,p_olsen_mg_kg,bray_p_mg_kg,k_mg_kg,exch_k_meq_100g,ca_mg_kg,mg_mg_kg,na_mg_kg,s_mg_kg,s_lb_ac,b_mg_kg,cl_mg_kg,cu_mg_kg,fe_mg_kg,mn_mg_kg,zn_mg_kg,al_mg_kg,al_kcl_mg_kg,ca_kcl_mg_kg,mg_kcl_mg_kg,na_kcl_mg_kg,wilting_point,field_capacity,h2o_wet_dry,avl_h2o_in,avl_h2o_percent
2013,COLUMBIA CONSERVATION DISTRICT-13-74-NA-NA-2013-03-25-0-3,,COLUMBIA CONSERVATION DISTRICT,,13-74,Columbia,,,,2013-03-25,0-3,0,3,,,,0.96,0.6529,4.82,6.5,7.64,0.21,0.546,0,,14.6,11.8912,8.2,5.353,2.6,1.6973,16,21.06,692.55,1.7712,7.7,2.4,0.02,3,1.9584,0.43,4.3,0.45,31,3.9,2,6,2.5,1540,291.84,4.6,1.06,0.2,1.2861,0.6512,108.5333
2013,COLUMBIA CONSERVATION DISTRICT-13-74-NA-NA-2013-03-25-3-6,,COLUMBIA CONSERVATION DISTRICT,,13-74,Columbia,,,,2013-03-25,3-6,3,6,,,,1.05,0.7141,2.92,6.3,7.61,0.12,0.312,0,,12,9.6117,4.1,2.9274,1.7,1.2138,7,21.06,618.45,1.5817,5.9,2.1,0.03,2,1.428,0.21,2.5,0.47,32,1.9,0.6,8,1.5,1180,255.36,6.9,1.06,0.2,1.2469,0.5887,98.1167
2013,COLUMBIA CONSERVATION DISTRICT-13-74-NA-NA-2013-03-25-6-12,,COLUMBIA CONSERVATION DISTRICT,,13-74,Columbia,,,,2013-03-25,6-12,6,12,,,,1.08,1.469,2.32,6.3,7.65,0.11,0.286,0,,11,8.842,3.7,5.4346,1.1,1.6157,4.7,21.06,513,1.312,5.7,1.8,0.03,1,1.4688,0.19,2.3,0.46,26,1.2,0.29,7,0.9,1140,218.88,6.9,1.06,0.2,1.248,1.2182,101.5167
2013,COLUMBIA CONSERVATION DISTRICT-13-74-NA-NA-2013-03-25-12-24,,COLUMBIA CONSERVATION DISTRICT,,13-74,Columbia,,,,2013-03-25,12-24,12,24,,,,1.07,2.9108,1.7,6.6,,0.09,0.234,0,,9.5,7.8128,2.7,7.8581,0.9,2.6194,4,21.06,333.45,0.8528,5,1.9,0.06,1,2.9104,0.13,2.6,0.45,15,0.8,0.12,3,1,1000,231.04,13.8,1.06,0.2,1.2424,2.342,97.5833
2013,COLUMBIA CONSERVATION DISTRICT-13-20-46.30361--117.83799-2013-03-29-0-3,,COLUMBIA CONSERVATION DISTRICT,Cahill,13-20,Columbia,,-117.8379897,46.30361267,2013-03-29,0-3,0,3,Touchet,Lower North Fork Touchet River,170701020308,1.28,0.8705,4.73,5,7.15,0.21,0.546,0,,14.4009,9.1014,8.1,7.0502,8.3,7.2243,61,63.18,521.36,1.3334,6.528,1.2,0.04,17,14.7968,0.32,3.7,0.92,122,43.8,1.62,31,25.6,1305.6,145.92,9.2,1.07,0.2,1.3031,0.8951,149.1833
2013,COLUMBIA CONSERVATION DISTRICT-13-20-46.30361--117.83799-2013-03-29-3-6,,COLUMBIA CONSERVATION DISTRICT,Cahill,13-20,Columbia,,-117.8379897,46.30361267,2013-03-29,3-6,3,6,Touchet,Lower North Fork Touchet River,170701020308,1.31,0.8909,3.24,4.9,7.15,0.19,0.494,0,,14.0566,8.7537,8.6,7.6609,3.4,3.0287,45,51.48,343.98,0.8797,6.834,1,0.04,16,14.2528,0.44,1.6,0.98,108,41.1,1.76,27,37.5,1366.8,121.6,9.2,1.07,0.2,1.2473,0.6968,116.1333
2013,COLUMBIA CONSERVATION DISTRICT-13-20-46.30361--117.83799-2013-03-29-6-12,,COLUMBIA CONSERVATION DISTRICT,Cahill,13-20,Columbia,,-117.8379897,46.30361267,2013-03-29,6-12,6,12,Touchet,Lower North Fork Touchet River,170701020308,1.35,1.8363,3.16,5.5,7.3,0.19,0.494,0,,19.1235,12.9989,9.7,17.8092,2.4,4.4064,44,49.14,369.46,0.9449,10.404,1.6,0.05,7,12.852,0.2,1.2,1.03,86,13.1,0.79,13,1.8,2080.8,194.56,11.5,1.07,0.2,1.2519,1.4734,122.7833
2013,COLUMBIA CONSERVATION DISTRICT-13-20-46.30361--117.83799-2013-03-29-12-24,,COLUMBIA CONSERVATION DISTRICT,Cahill,13-20,Columbia,,-117.8379897,46.30361267,2013-03-29,12-24,12,24,Touchet,Lower North Fork Touchet River,170701020308,1.3,3.5365,3.16,6.6,,0.22,0.572,0,,22.9877,16.8789,9.9,35.0064,1.8,6.3648,42,47.58,292.04,0.7469,13.362,2.7,0.07,5,17.68,0.39,1.4,0.93,46,4,0.48,2,0.6,2672.4,328.32,16.1,1.07,0.2,1.2485,2.7846,116.025
2013,COLUMBIA CONSERVATION DISTRICT-13-11-46.22412--117.96229-2013-04-15-0-3,,COLUMBIA CONSERVATION DISTRICT,Brown,13-11,Columbia,,-117.9622938,46.22411761,2013-04-15,0-3,0,3,Touchet,Payne Hollow-Touchet River,170701020401,1.19,0.8093,5.02,5.6,7.18,0.16,0.416,0,,16.1585,10.9658,5,4.046,6.03,4.8795,32,34.86,678.7,1.7358,7.7,1.5,0.03,5,4.046,0.1,1.8,0.88,86,22.4,0.66,24,5,1540,182.4,6.9,1.07,0.2,1.3554,1.0189,169.8167
2013,COLUMBIA CONSERVATION DISTRICT-13-11-46.22412--117.96229-2013-04-15-3-6,,COLUMBIA CONSERVATION DISTRICT,Brown,13-11,Columbia,,-117.9622938,46.22411761,2013-04-15,3-6,3,6,Touchet,Payne Hollow-Touchet River,170701020401,1.29,0.8773,3.64,4.8,6.9,0.17,0.442,0,,12.6283,7.6261,7.7,6.7544,16.83,14.7633,41,48.14,276.1,0.7061,6.1,0.8,0.02,9,7.8948,0.08,1.2,1.1,115,49.6,0.5,41,171,1220,97.28,4.6,1.07,0.2,1.2839,0.8278,137.9667
2013,COLUMBIA CONSERVATION DISTRICT-13-11-46.22412--117.96229-2013-04-15-6-12,,COLUMBIA CONSERVATION DISTRICT,Brown,13-11,Columbia,,-117.9622938,46.22411761,2013-04-15,6-12,6,12,Touchet,Payne Hollow-Touchet River,170701020401,1.36,1.8499,2.85,5.5,7.1,0.16,0.416,0,,17.2001,11.6152,7,12.9472,7.74,14.3159,23,13.28,264,0.6752,9.5,1.4,0.04,15,27.744,0.56,1.2,1.15,74,19.6,1.59,17,11,1900,170.24,9.2,1.07,0.2,1.2709,1.6393,136.6083
2013,COLUMBIA CONSERVATION DISTRICT-13-11-46.22412--117.96229-2013-04-15-12-24,,COLUMBIA CONSERVATION DISTRICT,Brown,13-11,Columbia,,-117.9622938,46.22411761,2013-04-15,12-24,12,24,Touchet,Payne Hollow-Touchet River,170701020401,1.34,3.6453,1.99,6.7,,0.16,0.416,0,,16.4,13.5264,4.5,16.4016,2.7,9.841,11,12.45,268.4,0.6864,10.7,2.1,0.04,3,10.9344,0.22,1,0.97,38,3.3,0.15,2,1,2140,255.36,9.2,1.07,0.2,1.2433,2.7867,116.1125
2013,COLUMBIA CONSERVATION DISTRICT-13-25-NA-NA-2013-04-15-0-3,,COLUMBIA CONSERVATION DISTRICT,,13-25,Columbia,,,,2013-04-15,0-3,0,3,,,,1.23,0.8365,4.26,6,7.32,0.22,0.572,0,,16.6,12.9817,12,10.0368,5.58,4.6671,35,39.84,997.7,2.5517,8.1,2.3,0.03,5,4.182,0.15,3.6,0.9,57,13.6,0.55,10,1,1620,279.68,6.9,1.07,0.2,1.2938,0.8258,137.6333
2013,COLUMBIA CONSERVATION DISTRICT-13-25-NA-NA-2013-04-15-3-6,,COLUMBIA CONSERVATION DISTRICT,,13-25,Columbia,,,,2013-04-15,3-6,3,6,,,,1.35,0.9181,2.77,5.1,7,0.13,0.338,0,,15.9953,10.3484,4.9,4.4982,3.78,3.47,33,37.35,398.2,1.0184,7.6,1.7,0.03,6,5.508,0.1,1.5,1.13,80,20.3,0.21,27,110,1520,206.72,6.9,1.07,0.2,1.2531,0.7416,123.6
2013,COLUMBIA CONSERVATION DISTRICT-13-25-NA-NA-2013-04-15-6-12,,COLUMBIA CONSERVATION DISTRICT,,13-25,Columbia,,,,2013-04-15,6-12,6,12,,,,1.33,1.8091,1.86,6,7.33,0.13,0.338,0,,17.5,13.6643,3.3,5.969,2.88,5.2093,20,25.73,322.3,0.8243,10.2,2.6,0.04,4,7.2352,0.14,1,1.07,43,6.7,0.12,7,4,2040,316.16,9.2,1.07,0.2,1.2382,1.3422,111.85
2013,COLUMBIA CONSERVATION DISTRICT-13-25-NA-NA-2013-04-15-12-24,,COLUMBIA CONSERVATION DISTRICT,,13-25,Columbia,,,,2013-04-15,12-24,12,24,,,,1.4,3.8086,1.18,7,,0.17,0.442,0,,17.5,14.7012,1.8,6.8544,2.07,7.8826,12,23.24,293.7,0.7512,10.3,3.6,0.05,2,7.616,0.15,1.6,0.95,25,2.3,0.11,1,1,2060,437.76,11.5,1.07,0.2,1.2312,2.7082,112.8417
2013,COLUMBIA CONSERVATION DISTRICT-13-29-46.39551--117.9926-2013-04-15-0-3,,COLUMBIA CONSERVATION DISTRICT,Poindexter-2,13-29,Columbia,,-117.9925975,46.39550725,2013-04-15,0-3,0,3,Tucannon,Smith Hollow-Tucannon River,170601070701,1.24,0.8433,2.74,5.1,7.21,0.28,0.728,0,,14.7457,9.4494,23.4,19.7309,18,15.1776,34,42.33,480.7,1.2294,6.4,1.8,0.02,8,6.7456,0.09,1.6,1.04,71,20.5,0.3,16,48,1280,218.88,4.6,1.07,0.2,1.2311,0.5993,99.8833
2013,COLUMBIA CONSERVATION DISTRICT-13-29-46.39551--117.9926-2013-04-15-3-6,,COLUMBIA CONSERVATION DISTRICT,Poindexter-2,13-29,Columbia,,-117.9925975,46.39550725,2013-04-15,3-6,3,6,Tucannon,Smith Hollow-Tucannon River,170601070701,1.29,0.8773,2.05,4.8,7.06,0.2,0.52,0,,13.2586,8.0796,11.9,10.4387,5.58,4.8948,40,48.14,297,0.7596,5.8,1.5,0.02,8,7.0176,0.06,0.8,1.12,81,25.8,0.19,29,161,1160,182.4,4.6,1.07,0.2,1.1683,0.3804,63.4
2013,COLUMBIA CONSERVATION DISTRICT-13-29-46.39551--117.9926-2013-04-15-6-12,,COLUMBIA CONSERVATION DISTRICT,Poindexter-2,13-29,Columbia,,-117.9925975,46.39550725,2013-04-15,6-12,6,12,Tucannon,Smith Hollow-Tucannon River,170601070701,1.26,1.7139,1.85,5.6,7.3,0.13,0.338,0,,17.6601,12.0461,7.5,12.852,3.96,6.7859,29,37.35,240.9,0.6161,9.1,2.3,0.03,5,8.568,0.09,0.9,1.21,57,8.9,0.17,11,13,1820,279.68,6.9,1.07,0.2,1.1648,0.7167,59.725
2013,COLUMBIA CONSERVATION DISTRICT-13-29-46.39551--117.9926-2013-04-15-12-24,,COLUMBIA CONSERVATION DISTRICT,Poindexter-2,13-29,Columbia,,-117.9925975,46.39550725,2013-04-15,12-24,12,24,Tucannon,Smith Hollow-Tucannon River,170601070701,1.19,3.2373,1.65,6.8,,0.14,0.364,0,,18,14.897,5.7,18.4498,2.25,7.2828,25,34.03,217.8,0.557,11.2,3.1,0.04,3,9.7104,0.14,1.3,1.03,29,2.1,0.1,1,2,2240,376.96,9.2,1.07,0.2,1.1821,1.6008,66.7
2013,COLUMBIA CONSERVATION DISTRICT-13-75-46.33936--117.83333-2013-04-15-0-3,,COLUMBIA CONSERVATION DISTRICT,Patit Hillside,13-75,Columbia,,-117.8333286,46.33935596,2013-04-15,0-3,0,3,Touchet,North Patit Creek,170701020306,1.16,0.7889,4.72,5.2,7.14,0.19,0.494,0,,18.6785,12.3788,6.5,5.1272,6.57,5.1824,38,44.82,566.5,1.4488,8.3,2.6,0.03,10,7.888,0.08,2.7,1.32,93,36.8,0.41,23,29,1660,316.16,6.9,1.07,0.2,1.304,0.8143,135.7167
2013,COLUMBIA CONSERVATION DISTRICT-13-75-46.33936--117.83333-2013-04-15-3-6,,COLUMBIA CONSERVATION DISTRICT,Patit Hillside,13-75,Columbia,,-117.8333286,46.33935596,2013-04-15,3-6,3,6,Touchet,North Patit Creek,170701020306,1.25,0.8501,2.74,5,7.05,0.17,0.442,0,,17.9107,11.6264,4.2,3.57,5.67,4.8195,33,36.52,233.2,0.5964,8.5,2.5,0.03,12,10.2,0.07,1.3,1.53,85,58.6,0.26,18,84,1700,304,6.9,1.07,0.2,1.229,0.5962,99.3667
2013,COLUMBIA CONSERVATION DISTRICT-13-75-46.33936--117.83333-2013-04-15-6-12,,COLUMBIA CONSERVATION DISTRICT,Patit Hillside,13-75,Columbia,,-117.8333286,46.33935596,2013-04-15,6-12,6,12,Touchet,North Patit Creek,170701020306,1.1,1.4962,1.84,5.9,7.33,0.22,0.572,0,,20.1,15.5492,3.6,5.3856,3.78,5.6549,24,29.05,199.1,0.5092,11.5,3.5,0.04,8,11.968,0.11,1.6,1.37,48,19.5,0.12,4,4,2300,425.6,9.2,1.07,0.2,1.1988,0.8501,70.8417
2013,COLUMBIA CONSERVATION DISTRICT-13-75-46.33936--117.83333-2013-04-15-12-24,,COLUMBIA CONSERVATION DISTRICT,Patit Hillside,13-75,Columbia,,-117.8333286,46.33935596,2013-04-15,12-24,12,24,Touchet,North Patit Creek,170701020306,1.1,2.9924,1.43,6.9,,0.24,0.624,0,,19.8,16.3142,4,11.968,2.61,7.8091,22,28.22,181.5,0.4642,11.9,3.9,0.05,5,14.96,0.15,1,1.25,27,2.8,0.09,1,1,2380,474.24,11.5,1.07,0.2,1.1879,1.5563,64.8458
2014,COLUMBIA CONSERVATION DISTRICT-14-29-46.39551--117.9926-2014-03-20-0-3,,COLUMBIA CONSERVATION DISTRICT,Poindexter-2,14-29,Columbia,,-117.9925975,46.39550725,2014-03-20,0-3,0,3,Tucannon,Smith Hollow-Tucannon River,170601070701,1.31,0.8909,2.6,4.8,7.31,0.09,0.234,0,,13.3747,8.8136,2.6,2.3161,3.7,3.296,34,56.35,310.31,0.7936,6.2,1.8,0.02,7,6.2356,0.09,2.6,1.32,98,30.2,0.23,27,69.8,1240,218.88,4.6,1.06,0.2,1.2174,0.6186,103.1
2014,COLUMBIA CONSERVATION DISTRICT-14-29-46.39551--117.9926-2014-03-20-3-6,,COLUMBIA CONSERVATION DISTRICT,Poindexter-2,14-29,Columbia,,-117.9925975,46.39550725,2014-03-20,3-6,3,6,Tucannon,Smith Hollow-Tucannon River,170601070701,1.26,0.8569,1.88,4.7,7.25,0.11,0.286,0,,14.1795,9.3071,2.1,1.7993,3.3,2.8274,37,64.4,186.55,0.4771,6.9,1.9,0.03,8,6.8544,0.08,2.3,1.36,101,35.6,0.21,39,106.1,1380,231.04,6.9,1.06,0.2,1.1973,0.519,86.5
2014,COLUMBIA CONSERVATION DISTRICT-14-29-46.39551--117.9926-2014-03-20-6-12,,COLUMBIA CONSERVATION DISTRICT,Poindexter-2,14-29,Columbia,,-117.9925975,46.39550725,2014-03-20,6-12,6,12,Tucannon,Smith Hollow-Tucannon River,170601070701,1.35,1.8363,1.19,5.8,7.54,0.08,0.208,0,,18.307,14.0962,2,3.672,2.2,4.0392,17,28.75,178.36,0.4562,10.6,3,0.04,4,7.344,0.11,2.8,1.51,44,6.6,0.1,4,2.4,2120,364.8,9.2,1.06,0.2,1.1982,1.1194,93.2833
2014,COLUMBIA CONSERVATION DISTRICT-14-29-46.39551--117.9926-2014-03-20-12-24,,COLUMBIA CONSERVATION DISTRICT,Poindexter-2,14-29,Columbia,,-117.9925975,46.39550725,2014-03-20,12-24,12,24,Tucannon,Smith Hollow-Tucannon River,170601070701,1.247,3.3923,0.93,6.6,,0.12,0.312,0,,19.1076,15.9294,5.4,18.3159,2.6,8.8188,12,21.85,148.33,0.3794,12.1,3.4,0.05,3,10.1755,0.13,2.4,1.48,29,3.1,0.08,2,0.7,2420,413.44,11.5,1.06,0.2,1.1838,1.8525,77.1875
2014,TURNER / MCGEE-PROPOSED SITE-NA-NA-2014-03-28-0-2,,TURNER / MCGEE,,PROPOSED SITE,Columbia,,,,2014-03-28,0-2,0,2,,,,1.18,0.535,,5.3,7.31,0.16,0.416,,,,,,,1.7,0.9094,,,,,7.4,2.4,0.02,7,3.7445,0.12,,1.18,76,34.3,0.56,22,8.2,1480,291.84,4.6,,,,,
2014,TURNER / MCGEE-PROPOSED SITE-NA-NA-2014-03-28-2-4,,TURNER / MCGEE,,PROPOSED SITE,Columbia,,,,2014-03-28,2-4,2,4,,,,1.24,0.5622,,4.9,7.24,0.15,0.39,,,,,,,4.6,2.5858,,,,,7.5,2.4,0.03,7,3.9349,0.07,,1.4,79,64.6,0.43,19,67.6,1500,291.84,6.9,,,,,
2014,TURNER / MCGEE-PROPOSED SITE-NA-NA-2014-03-28-4-6,,TURNER / MCGEE,,PROPOSED SITE,Columbia,,,,2014-03-28,4-6,4,6,,,,1.38,0.6257,,5.1,7.35,0.14,0.364,,,,,,,2.5,1.564,,,,,9.4,2.9,0.02,5,3.128,0.08,,1.36,53,29.5,0.19,8,15.6,1880,352.64,4.6,,,,,
2014,TURNER / MCGEE-PROPOSED SITE-NA-NA-2014-03-28-6-12,,TURNER / MCGEE,,PROPOSED SITE,Columbia,,,,2014-03-28,6-12,6,12,,,,1.31,1.7819,,6.1,7.5,0.25,0.65,,,,,,,1.5,2.6724,,,,,11.5,3.6,0.03,3,5.3448,0.12,,1.16,28,5.3,0.11,1,0.7,2300,437.76,6.9,,,,,
2014,COLUMBIA CONSERVATION DISTRICT-14-1-46.37086--117.98718-2014-04-07-0-3,,COLUMBIA CONSERVATION DISTRICT,Harting,14-1,Columbia,,-117.987185,46.37086228,2014-04-07,0-3,0,3,Touchet,Upper Whetstone Hollow,170701020501,1.4,0.9521,3.34,5,7.21,0.11,0.286,0,,16.1407,11.2433,3.3,3.1416,4.5,4.284,36,59.4,462.68,1.1833,7.9,2.1,0.06,5,4.76,0.12,2.5,1.65,113,32.8,1.97,29,27.9,1580,255.36,13.8,1.06,0.2,1.2729,0.8942,149.0333
